url,role,origine,bundle,shaders,besoin_fix,rebuild_dispo,note
http://cloud-3.steamusercontent.com/ugc/1009315641457799750/AE83DC038BA8AAF48678D07E1F9734D4A9944C1D/,principal,telecharge,arc_1,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457800134/88E2FEC812AD5E7B7570836120992252AC758BF8/,principal,telecharge,arc_2,Particles/Standard Unlit,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457800538/06BBAAAAC7FB68DAA9351F12008475068A96BFFB/,principal,telecharge,arc_3,Particles/Standard Unlit,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457800878/34EC84D7ECD99E073417866A9BEC4288E00F5359/,principal,telecharge,arc_dc15x,Particles/Standard Unlit,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457801321/CED1CD80F307683E79B9A4ED87CECAED7C070EBF/,principal,telecharge,arc_echo,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457802221/506D704E232C1BFD85F063A24EBF24C5914C2C40/,principal,telecharge,arc_fives,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457802621/01F605D855048F823A0ECA6C46D2A62B56C04124/,principal,telecharge,arc_leader,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457845802/AE70766EAA85C875B023FB980A5A5CEEFB98B1D9/,principal,cache,bx_droid_1,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457846188/D7F348E890430AA319DDDFA513D99DC2783ECF91/,principal,cache,bx_droid_2,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457846574/F169D9E2E45B73D1E21B17E32D3B4B4D9AACB196/,principal,cache,bx_droid_3,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1009315641457847081/F7D4E8D3EC85BAEEB5C1B5B913B7F484CC28FC10/,principal,cache,bx_droid_leader,,non,oui,
